"149988","1999 K St NW,  Washington,  DC,  20006-1118","No_Match"
"149867","1101 New York Avenue NW11th Floor,  Washington,  DC,  20005","No_Match"
"149987","1717 K Street NWSuite 900,  Washington,  DC,  20006","Match","Non_Exact","1717 K ST NW, WASHINGTON, DC, 20006","-77.03963,38.90253","76225662","R"
"149883","1500 K St NW Ste 1100,  Washington,  DC,  20005-1209","Match","Exact","1500 K ST NW, WASHINGTON, DC, 20005","-77.03474,38.90252","76225749","L"
"149884","1424 K St NW Ste 500,  Washington,  DC,  20005-2410","Match","Exact","1424 K ST NW, WASHINGTON, DC, 20005","-77.03243,38.90252","76225768","L"
"149885","725 Twelfth Street N West,  Washington,  DC,  20005","Match","Non_Exact","725 12TH ST NW, WASHINGTON, DC, 20005","-77.028076,38.898743","76226159","R"
"149881","901 15th St NW # 12,  Washington,  DC,  20005-2327","Match","Exact","901 15TH ST NW, WASHINGTON, DC, 20005","-77.03363,38.90143","76225773","R"
"149879","725 12 Th St NW,  Washington,  DC,  20005-3901","Match","Non_Exact","725 12TH ST NW, WASHINGTON, DC, 20005","-77.028076,38.898743","76226159","R"
"149997","1919 Pennsylvania Ave NW Ste 800,  Washington,  DC,  20006-3401","Match","Exact","1919 PENNSYLVANIA AVE NW, WASHINGTON, DC, 20006","-77.04379,38.900326","76225391","R"
"149876","1501 K St NW,  Washington,  DC,  20005-1401","Match","Non_Exact","1501 K ST NW, WASHINGTON, DC, 20001","-77.03474,38.90253","76225749","R"
"149996","1900 K St NW,  Washington,  DC,  20006-1110","Match","Exact","1900 K ST NW, WASHINGTON, DC, 20006","-77.04358,38.90252","76225387","L"
"149877","1201 NEw York Ave NW Fl 7,  Washington,  DC,  20005-3917","Match","Non_Exact","1201 NEW YORK AVE NW, WASHINGTON, DC, 20005","-77.0282,38.900707","76226156","R"
"149999","1601 K St NW,  Washington,  DC,  20006-1682","Match","Non_Exact","1601 K ST NW, WASHINGTON, DC, 20001","-77.0367,38.90253","76225668","R"
"149878","1220 L St NW Ste 605,  Washington,  DC,  20005-4018","Match","Exact","1220 L ST NW, WASHINGTON, DC, 20005","-77.02847,38.903732","76226124","L"
"149998","1455 Pennsylvania Northwest,  Washington,  DC,  20004","Match","Non_Exact","1455 PENNSYLVANIA AVE NW, WASHINGTON, DC, 20004","-77.03286,38.896347","76225888","R"
